text,label
"Hi Samia,
Just a quick email to say that sounds like a great idea. Saturday is better for me because I'm meeting my parents on Sunday. So if that's still good for you, why don't you come here? Then you can see the new flat and all the work we've done on the kitchen since we moved in. We can eat at home and then go for a walk in the afternoon. It's going to be so good to catch up finally. I want to hear all about your new job!
Our address is 52 Charles Road, but it's a bit difficult to find because the house numbers are really strange here. If you turn left at the post office and keep going past the big white house on Charles Road, there's a small side street behind it with the houses 50-56 in. Don't ask me why the side street doesn't have a different name! But call me if you get lost and I'll come and get you.
Let me know if there's anything you do/don't like to eat. Really looking forward to seeing you!
See you soon!
Gregor",A2
"I had the most wonderful childhood. I grew up in San Diego, where it rains about two days a year, and it's always sunny and bright. I could ride my bike just about any day of the year, and had lots of friends. My best friend was George Kenny. George lived just a few houses down the block from me and we were the same age. Actually, I was about 28 days older than him - a fact that I always threw in his face. ""You must respect your elders,"" I would sometimes tell him. That usually got a nasty response from him. Anyway, George came up to me one day and said, ""Hey Richard, why don't we form a bicycle club?""
 
I thought about it for a while, and then he said, ""We could give ourselves a cool name and get hats and stickers and have lots of fun. What do you say?""  I immediately fell in love with the idea. ""You bet, Georgie Porgy!""  I used to call him that all the time even though I knew he hated it. Well before we knew it, we got a couple of other guys together and came up with the best name for a club ever. We were the ""White Skulls.""  Why we chose that name, I'll never know, but all the kids seemed to like it, so I was okay with it, too.
The four of us went to the local bike shop and we each picked out a skull decal to put on our bikes. I chose a green one, while Georgie Porgy picked red. He shouted: ""I am the red skull! I am the king of the club! If you don't like it, try to take it from me!""  George was a pretty big guy, so no one argued with him. We rode our bikes everywhere and had a great summer. That's how we formed the greatest bike club ever!",A2
"Southwestern University
Candidate's surname: Martella
Candidate's first name: Javier
Student number: 15604088-B
Academic year: 2019-2020
Course: English Basics 2
Term: 3 (final)
Mark breakdown
Skills/Area	Maximum mark	Pass mark	Mark obtained	Pass/Fail
Reading	20	10	15	P
Listening	20	10	8	F
Writing	20	10	14	P
Speaking	20	10	17	P
Grammar/Vocabulary	20	10	11	P
TOTAL	 	 	65	P
Comments
Well done, Javier, on all your hard work this term. You are always active in speaking activities, and this is great. I always enjoy reading your writing too; you have very good ideas. You can see from your marks that reading is not a problem for you.
Sometimes you still make small grammar mistakes, and I think you can improve your vocabulary. I recommend you review many of the language points we studied this term. There is extra language practice in your online workbook.
The area you need to work on the most is listening. I know this is difficult for you. I recommend more practice at home. Listen to English TV shows, podcasts and radio as much as possible. I can give you a list of things to listen to.
I've enjoyed working with you. Have a nice holiday, and good luck for next term!
Instructor's name: Erin Gibbs
Signed: Erin Gibbs",A2
"Winter was approaching. Jason was excited for the coming season. It was his favorite time of a year. He loved the cold weather and snow. Jason lived in New York. During winter it would snow in New York. He always played in the snow, even as an adult. Jason would gather his family and friends at the park, where they had snowball fights. It was a lot of fun.
 
His favorite holiday Christmas occurred in winter. This was another reason why winter was Jason's favorite season. Every year, he bought presents for his friends and family. Jason loved seeing the look on their faces when they unwrapped their Christmas presents. It was better to give than to receive, Jason thought. Jason loved everything about Christmas. He enjoyed caroling. He loved singing Christmas music. He loved kissing his wife under the mistletoe. He loved drinking sweet eggnog. Jason sometimes even dressed up as Santa Claus for fun, and entertained his nephews.
Winter also came at the end of a year. New Year's Day would come after Christmas. Jason also loved this holiday. It was a day to celebrate the new year to come, while reflecting on the past one. Jason always made New Year's resolutions. Every year he made a new resolution. This year he promised to go skydiving. Last year, he promised himself to lose twenty pounds. Jason always kept his New Year's resolution. He lost twenty pounds in three months. This year was no exception. He planned to sign up for skydiving lessons in January of next year.
Jason could not stop thinking about winter. He could not wait for it to come. It was going to be the best winter yet. Jason needed to wait five more months because it was barely mid July.",A2
Dad took his son Chris to the baseball game. The Los Angeles Dodgers were playing the San Francisco Giants. The Dodgers were the home team. The Giants were the visiting team. Dad and Chris walked into Dodger Stadium. Many people were there. Most of them wanted to see the Dodgers win. They wanted to see the Giants lose. Dad and Chris found their seats. They sat down. The game had already started. Chris told his dad he was hungry. His dad bought two bags of peanuts for Chris. He bought two hot dogs for Chris. He bought a big soda for Chris. A foul ball came their way. People dived for the foul ball. They knocked Chris' soda over. His dad bought him another soda.,A2
"Brian Nelson got his first skateboard when he was 9 years old. He started skating right away. He had friends at school that knew how to skate, so he would go to their houses after school. As time went by, Brian got better and better at skating. He could do a lot of tricks on his skateboard, but what Brian really loved was jumping over stairs with his skateboard. His record was 15 stairs, but he wanted to beat that record. Brian and his friends went to the Hollywood 18, where a lot of skaters go to make skating videos.
 
Brian knew that if he jumped over those stairs, he would become a legend with his friends. As he went up to the stairs, he started counting each stair one by one. He wanted to make sure they passed 15. On his first try, Brian jumped off his skateboard and landed on the grass next to the stairs. He wanted to try again, but he was scared. He finally got the nerve to try it again. This time he actually jumped over some stairs. Unfortunately, he didn't pass the 16th step in the staircase. He fell off his board, but he didn't get that hurt. Some girls were looking at Brian, and asked him if he could do it again. Brian knew he had to get it this time.
As Brian prepared for his jump, he kept looking at the girls that had gathered to see him. He was breathing heavy, but he knew he could do it. The time had arrived. Brian was ready to try it again. He pushed off the pavement, and started pedaling his skateboard faster and faster. He got to the top of the stairs and then he jumped. Brian was in the air for about 5 seconds and then he landed. The girls all applauded, and then Brian stopped his skateboard. He had done it. He beat his record. All the girls went up to give him a hug, but they all stayed away because he smelled. He started laughing. Everyone laughed and congratulated Brian.
",A2
"Can you cut my hair a little differently this time?
Sure! How would you like it cut?
Well, last time it was a little too long.
I see what you mean. How about a bob cut?
Can you work some layers into it?
Of course! It's easy.
I would also like to keep some bangs.
How long would you like them?
Maybe down to my eyebrows?
Sounds good!
I trust you to make me look beautiful.
Oh, trust me, you'll look gorgeous!",A2
"Hi, I would like to know my credit balance.
Of course. May I have your credit card number?
Yes, it's 512879346. My name is John.
Alright, John. You currently have no dues on your credit card.
Really? I finally paid it off?
Yes, sir. Your balance is officially zero.
I must admit I am proud of myself!
Is there anything else you'd like me to check, sir?
Yes, can you change my card status from a college to normal account?
Of course, but you'll have to come to the bank to do that.
Alright, I'll be down first thing tomorrow.
Sounds good, sir. Have a good day.",A2
"Johnny jumped over the dog. The dog was lying on the ground. Johnny jumped over it. The dog saw Johnny jump over it. The dog got up. The dog got up and barked at Johnny. Johnny laughed. He laughed while the dog barked. Johnny ran over to the fence. The dog chased him to the fence. Johnny jumped over the fence. He turned around and looked at the dog. The dog stopped at the fence. The dog could not jump over the fence. Johnny said, ""Jump, jump!"" The dog barked, but did not jump.",A2
"Kim was a housekeeper for a family in Beverly Hills. One morning when she went to work, she found a note from her boss. The note asked her to go to the supermarket and pick up a few things. There was a list of things Kim was supposed to buy. The note surprised Kim. She had only been a housekeeper for a week and had never been asked to go shopping before. Kim didn't even know where the nearest grocery store was. She also didn't know how to drive. Thankfully the note also told her that the boss's driver would take her to the market. There was also a $50 bill.
 
Once at the market Kim walked through looking for the items on her list. She was confused though. The list read ""one pound of apples"". Kim had purchased one kilogram of apples but never a pound. In her country, they used the metric system. She wasn't sure if a pound was more or less than a kilogram. Kim decided to ask one of the grocery workers. The grocery worker was kind and explained that a pound was about half a kilogram.
""I wouldn't worry about it though. Just use the scale,"" the grocery worker. Kim went to the scale and was happy to see that the scales didn't use the metric system she was used to. Kim weighed a pound of apples and put it in the shopping cart.
The next item on the list was a gallon of milk. Kim wasn't sure how much a gallon was. She was used to buying a liter of milk. There was also no way to weigh a liter of milk. She was glad that the milk containers were labeled. She just wished the U.S. used the metric system.",A2
"Johnny enjoyed walking around with his long black hair. He also enjoyed the attention strangers and friends would give him. Strolling down the street was never the same after he started doing it with long hair. Johnny never wanted to cut his hair short ever again. He could think of no good reason to do so. This would all change with one conversation on a Saturday morning while having breakfast with his parents.
 
It seemed like any other regular Saturday morning at Johnny's house. Mom was cooking pancakes; dad was reading the newspaper; Johnny was waiting, sitting at the table drinking some orange juice. ""Johnny, it is time for you to get a job,"" Johnny's dad said all of a sudden, without any warning. Johnny nearly spit out his orange juice after hearing his dad's startling remark. ""What?"" Johnny said after gulping.
""There comes a time in every boy's life when he must finally cut his hair and get a job,"" Johnny's dad told him. ""But, dad!"" Johnny said, trying reasoning. ""No buts,"" Johnny's dad snapped. That afternoon Johnny's parents took him to a barber shop to get a haircut. He tried his best to hold back his tears on the way to the barber shop.
Johnny reluctantly sat down on the barber's chair wearing a frown on his face. ""Why the long face?"" asked the barber. ""He doesn't want to get a haircut,"" Johnny's mom replied. ""It's just hair. It'll grow back one day,"" the barber said, trying to cheer him up.
The following week, Johnny was hired at McDonald's. He had neat, short hair.",A2
"Charles School
Learn English in one of our three schools for the best experience at the lowest prices. Choose from London, Oxford or Cambridge. Practise your English, make friends and see England!
General English
Improve your speaking, listening, reading and writing.
Intensive course
31 hours per week, Monday-Thursday 9 a.m.-5 p.m. and Friday 9 a.m.-12 p.m.
Part-time course
15 hours per week, Monday-Friday, mornings, afternoons or evenings.
Mornings: 9 a.m.-12 p.m.
Afternoons: 2-5 p.m.
Evenings: 5-8 p.m.
Exam preparation
Extra focus on grammar and vocabulary, and exam practice.
19 hours per week, Monday to Thursday 9 a.m.-1 p.m., Friday 9 a.m.-12 p.m.
Prices (per week)
Intensive: GBP500
Mornings: GBP190
Afternoons: GBP230
Evenings: GBP270
Exam preparation: GBP300
Elizabeth School of English
One-to-one classes and groups in central London. Our teachers are all qualified and experienced for a high-quality English course.
Build your own course
Choose the modules to suit your needs. Choose the times that work for you.
General English**
English skills: reading, writing, listening, speaking
Writing extra
Speaking extra
Grammar and vocabulary
English for Life
English for business
English for doctors
English for engineers
University path
Exam preparation
Courses from 5 to 35 hours per week.
Prices
General English classes: GBP10 per hour
English for Life classes: GBP15 per hour
Exam preparation classes: GBP10 per hour
One-to-one classes: please email for prices
Hours
Monday to Friday 9 a.m.-9 p.m.
Saturday 9 a.m.-1 p.m.
** General English classes are only available with a minimum of two students.",A2
