text,label
"Hi!
I've been meaning to write for ages and finally today I'm actually doing something about it. Not that I'm trying to make excuses for myself, it's been really hard to sit down and write, as I've been moving around so much. Since we last saw each other I've unpacked my bags in four different cities. This job has turned out to be more of a whirlwind than I expected, but it's all good! 
I went from London to Prague to set up a new regional office there. You know I'd always wanted to go, but maybe I was imagining Prague in spring when I used to talk about that. Winter was really hard, with minus 15 degrees in the mornings and dark really early in the evening. But at least it was blue skies and white snow and not days on end of grey skies and rain, like at home. It's tough being away from home over Christmas, though, and Skype on Christmas Day wasn't really the same as being with everyone.
From there I was on another three-month mission to oversee the set-up of the office in New York. Loved, loved, loved New York! It's like being in one big TV show, as everywhere looks just a little bit familiar. I did every tourist thing you can think of when I wasn't working, and must have spent most of my salary on eating out. It was really hard to leave for the next job, especially as I kind of met someone (!) More about Michael later ...
So then I was posted to LA, which felt like a whole other country compared with the East Coast. I could definitely get used to that kind of outdoor, beach lifestyle, but I didn't spend as much time getting to know California as I could have because I was flying back to see Michael every other weekend. He came to see me when he could, but his job means he's often working at weekends, so he couldn't make the flight very often. Those three months flew by and then I was off again, to Frankfurt, which is where I am now. And ... so is Michael! He got a month off work and we're trying to work out how we can be in the same place at the same time for a while. We figure the first step in that direction is getting married, which is also why I wanted to write - I can't get married without my oldest friend there! The wedding's going to be at home in London in September and I hope you can come!
Anyway, tell me all your news and I promise not to leave it so long this time!
Lots of love,
Kath",B2
"It was not so much how hard people found the challenge but how far they would go to avoid it that left researchers gobsmacked. The task? To sit in a chair and do nothing but think. 
So unbearable did some find it that they took up the safe but alarming opportunity to give themselves mild electric shocks in an attempt to break the tedium. 
Two-thirds of men pressed a button to deliver a painful jolt during a 15-minute spell of solitude. 
Under the same conditions, a quarter of women pressed the shock button. The difference, scientists suspect, is that men tend to be more sensation-seeking than women. 
The report from psychologists at Virginia and Harvard Universities is one of a surprising few to tackle the question of why most of us find it so hard to do nothing. 
In more than 11 separate studies, the researchers showed that people hated being left to think, regardless of their age, education, income or the amount of time they spent using smartphones or social media. 
Timothy Wilson, who led the work, said the findings were not necessarily a reflection of the pace of modern life or the spread of mobile devices and social media. Instead, those things might be popular because of our constant urge to do something rather than nothing. 
The first run of experiments began with students being ushered - alone, without phones, books or anything to write with - into an unadorned room and told to think. The only rules were they had to stay seated and not fall asleep. They were informed - specifically or vaguely - that they would have six to 15 minutes alone. 
The students were questioned when the time was up. On average, they did not enjoy the experience. They struggled to concentrate. Their minds wandered even with nothing to distract them. Even giving them time to think about what to think about did not help. 
In case the unfamiliar setting hampered the ability to think, the researchers ran the experiment again with people at home. 
They got much the same results, only people found the experience even more miserable and cheated by getting up from their chair or checking their phones. 
To see if the effect was found only in students, the scientists recruited more than 100 people, aged 18 to 77, from a church and a farmers' market. They, too, disliked being left to their thoughts. 
But, the most staggering result was yet to come. To check whether people might actually prefer something bad to nothing at all, the students were given the option of administering a mild electric shock. 
They had been asked earlier to rate how unpleasant the shocks were, alongside other options, such as looking at pictures of cockroaches or hearing the sound of a knife rubbing against a bottle. 
All the students picked for the test said they would pay to avoid mild electric shocks after receiving a demonstration. 
To the researchers' surprise, 12 of 18 men gave themselves up to four electric shocks, as did six of 24 women. 
""What is striking is that simply being alone with their thoughts was apparently so aversive that it drove many participants to self-administer an electric shock that they had earlier said they would pay to avoid,"" the scientists write in Science  
Jessica Andrews-Hanna at the University of Colorado said many students would probably zap themselves to cheer up a tedious lecture. But, she says more needs to be known about the motivation of the shockers in Wilson's study. 
""Imagine the setup - a person is told to sit in a chair with wires attached to their skin and a button that will deliver a harmless but uncomfortable shock, and they are told to just sit there and entertain themselves with their thoughts,"" she said. 
""As they sit there, strapped to this machine, their mind starts to wander and it naturally goes to that shock - was it really that bad? 
""What are the experimenters really interested in? Perhaps this is a case where curiosity killed the cat.""",B2
"Keith recently came back from a trip to Chicago, Illinois. This midwestern metropolis is found along the shore of Lake Michigan. During his visit, Keith spent a lot of time exploring the city to visit important landmarks and monuments.
Keith loves baseball, and he made sure to take a visit to Wrigley Field. Not only did he take a tour of this spectacular stadium, but he also got to watch a Chicago Cubs game. In the stadium, Keith and the other fans cheered for the Cubs. Keith was happy that the Cubs won with a score of 5-4.
Chicago has many historic places to visit. Keith found the Chicago Water Tower impressive as it is one of the few remaining landmarks to have survived the Great Chicago Fire of 1871. Keith also took a walk through Jackson Park, a great outdoor space that hosted the World's Fair of 1892. The park is great for a leisurely stroll, and it still features some of the original architecture and replicas of monuments that were featured in the World's Fair.
During the last part of his visit, Keith managed to climb the stairs inside of the Willis Tower, a 110-story skyscraper. Despite the challenge of climbing the many flights of stairs, Keith felt that reaching the top was worth the effort. From the rooftop, Keith received a gorgeous view of the city's skyline with Lake Michigan in the background.",B2
"The Griffith Observatory is a planetarium, and an exhibit hall located in Los Angeles's Griffith Park. It features several astronomical displays and telescopes in the Hollywood Hills in the Los Feliz district of the city. The Observatory was built on land donated by Griffith J. Griffith in 1896. Griffith was a Welsh-born philanthropist and mining tycoon, who wanted to give the public access to a state-of-the-art observatory, so it was free of charge to visitors. He felt common people should be able to enjoy the wonders of the universe, and not be solely for the scientific community.
Griffith donated 3,015 acres of land specifically to house the observatory that opened on May 14, 1935. During the first five days after the opening, the planetarium averaged more than 13,000 visitors a day. One of the major attractions was the Foucault Pendulum that is designed to show the earth's rotation and the Zeiss reflecting telescope. The observatory has a striking view of Los Angeles and Hollywood, and the Pacific Ocean can be seen on clear days from there.
In 2002 the planetarium was subjected to a $93 million renovation and expansion, which closed the museum for four years. After it reopened in 2006, the facility expanded underground with new exhibits, a cafe, a gift shop, and a theater. The Wilder Hall of the Eye section concentrates on the astronomical aspect of the observatory. It is where people can view the stars through the observatory's telescope, and features an interactive exhibit that is very popular. The Ahmanson Hall of the Sky is another popular attraction for viewing images in the night sky that are visible to the naked eye. The observatory frequently stages viewing nights when the public is invited to bring their own telescopes. It is open daily, and remains free of charge.",B2
"-LRB- The Hollywood Reporter -RRB- It's official: AMC's The Walking Dead companion series has a title.
Executive producer Robert Kirkman announced Friday that the companion series, which starts as a prequel to the original, will be titled Fear The Walking Dead. 
The news comes as the companion went through development season -- and was picked up to series and preemptively renewed for a second season -- under code names including Cobalt and Fear The Walking Dead. 
On March 9, AMC announced the series pickup and renewal for the then-untitled series.
Kirkman, who created The Walking Dead comic series, co-wrote the pilot with Dave Erickson of Sons of Anarchy. Kirkman and Erickson will executive produce alongside Walking Dead's Gale Anne Hurd and Dave Alpert. Erickson will serve as showrunner, and Adam Davidson will direct the pilot. Walking Dead visual effects guru Greg Nicotero will also executive produce the series.
While AMC has been tight-lipped on the seriespremise, sources tell The Hollywood Reporter that the drama is a prequel that takes place in Los Angeles at the onset of the zombie outbreak. AMC confirmed that the companion series is set in Los Angeles but revealed nothing more beyond that it will focus on new characters and storylines.
Cliff Curtis -LRB- Gang Related -RRB- stars as Sean Cabrera, a teacher who shares a son with his ex-wife. Sons of Anarchy's Kim Dickens is set to co-star as Nancy, a guidance counselor who works at the school with Sean and is seeing him romantically. Frank Dillane -LRB- Harry Potter and the Half-Blood Prince -RRB- co-stars as Nancy's son Nick, who has battled a drug problem. And Alycia Debnam Carey -LRB- Into the Woods -RRB- is will play Nancy's ambitious daughter, Ashley, who is the polar opposite of Nick and dreams of leaving Los Angeles for Berkeley when the apocalypse strikes.
 Fear The Walking Dead will premiere in the late summer with season two set for 2016. An official premiere date has not yet been announced. The season five finale of the flagship series airs Sunday at 9 p.m.
(copyright) 2015 The Hollywood Reporter. All rights reserved.
",B2
"There can be different kinds of entertainment at a wedding reception. Usually there will be a Master of Ceremonies, or MC, who helps move the reception along by making announcements of what will happen next. For example, the MC will announce when the newly married couple enters the reception hall, and all the guests will stand up and applaud. A wedding reception usually has music and guests are expected to dance. The music can be provided by a DJ or by a live band. Sometimes the DJ or live band will accept requests from guests to play a certain song. When the newly married couple enters the reception, they will share a dance by themselves to a song they picked beforehand. Usually the song is something romantic and represents the couple's love for one another. Sometimes the bride will share a dance with her father and the groom will share a dance with his mother. After these special dances, the guests are invited to the dance floor.
 
Food at a wedding reception can be buffet style, where everyone serves himself or herself, or it can be a sit-down meal served by waiters. Guests get to choose among a meat, chicken or fish deal. Guests generally make their choices when they respond to the initial wedding invitations.
During a wedding, guests shouldn't expect to spend too much time with the bride and groom. The new couple is usually very busy greeting all of their guests. Sometimes the couple doesn't even get a chance to eat. What almost every newly married couple does get to eat at their wedding reception is the wedding cake. The bride and groom traditionally cut through the wedding cake together, and then feed the other person a bite.",B2
"Facebook has lost millions of users per month in its biggest markets, independent data suggests, as alternative social networks attract the attention of those looking for fresh online playgrounds. 
As Facebook prepares to update investors on its performance in the first three months of the year, with analysts forecasting revenues up 36% on last year, studies suggest that its expansion in the US, UK and other major European countries has peaked. In the last month, the world's largest social network has lost 6m US visitors, a 4% fall, according to analysis firm Socialbakers. In the UK, 1.4m fewer users checked in in March, a fall of 4.5%. The declines are sustained. In the last six months, Facebook has lost nearly 9m monthly visitors in the US and 2m in the UK. 
Users are also switching off in Canada, Spain, France, Germany and Japan, where Facebook has some of its biggest followings. A spokeswoman for Facebook declined to comment. 
""The problem is that, in the US and UK, most people who want to sign up for Facebook have already done it,"" said new media specialist Ian Maude at Enders Analysis. ""There is a boredom factor where people like to try something new. Is Facebook going to go the way of MySpace? The risk is relatively small, but that is not to say it isn't there."" Alternative social networks such as Instagram, the photo-sharing site that won 30m users in 18 months before Facebook acquired the business, have seen surges in popularity with younger age groups. 
Path, the mobile phone-based social network founded by former Facebook employee Dave Morin, which restricts its users to 150 friends, is gaining 1m users a week. It has recently topped 9m users, with 500,000 Venezuelans downloading the app in a single weekend. 
Facebook is still growing fast in South America. Monthly visitors in Brazil were up 6% in the last month to 70m, according to Socialbakers, whose information is used by Facebook advertisers. India has seen a 4% rise to 64m - still a fraction of the country's population, leaving room for further growth. 
But in developed markets, other Facebook trackers are reporting declines. Analysts at Jefferies bank have developed an algorithm that interfaces directly with Facebook software and it ""suggests user levels in [the first quarter] may have declined from peak"". 
Jefferies saw global numbers peak at 1.05bn a month in January, before falling by 20m in February. Numbers rose again in April. The network has now lost nearly 2m visitors in the UK since December, according to research firm Nielsen, with its 27m total flat on a year before. 
The number of minutes Americans spend on Facebook appears to be falling, too. The total was 121 billion minutes in December 2012, but that fell to 115 billion minutes in February, according to comScore. 
As Facebook itself has warned, the time spent on its pages from those sitting in front of personal computers is declining rapidly because we are switching our screen time to smartphones and tablets. 
While smartphone minutes have doubled in a year, to 69 a month, that growth is not guaranteed to compensate for dwindling desktop usage. 
Facebook is the most authoritative source on its own user numbers, and the firm will update investors on its performance for the quarter. Wall Street expects revenues of about $1.44bn, up from $1.06bn in 2012. 
Shareholders will be particularly keen to learn how fast Facebook's mobile user base is growing, and whether advertising revenues are increasing at the same rate. 
Mobile usage represented nearly a quarter of Facebook's advertising income at the end of 2012, and the network had 680m mobile users a month in December. 
The company warned in recent stockmarket filings that it might be losing ""younger users"" to ""other products and services similar to, or as a substitute for, Facebook"". 
Wary of competition from services that were invented for the mobile phone rather than the PC, founder Mark Zuckerberg has recently driven through a series of new initiatives designed to appeal to smartphone users. The most significant is Facebook Home, software that can be downloaded onto certain Android phones to feed news and photos from friends - and advertising - directly to the owner's locked home screen.
",B2
"Passover is a Jewish holiday that remembers and celebrates their liberation from ancient Egyptian slavery as described in the Old Testament of the Bible. It is traditionally celebrated in the spring and lasts about a week.
 
According to the story in the Bible, God punished ancient Egypt with 10 plagues. The last plague killed Egyptian first-born males. Jewish people were told to mark their doors with lamb's blood so that God would know to pass over these houses and not kill any first-born males inside. This is where the name of the holiday, Passover, comes from. After this last plague the Egyptian king, known as the Pharaoh, agreed to release the ancient Jews from bondage. The Bible story also says that the Jewish people left their homes in such a rush after they were freed that they didn't have time to wait for the bread to rise. This is why at the commemorative Passover meal, Jewish people eat matzo, bread without yeast, also known as unleavened bread. The matzo and other foods are eaten at a special meal called a seder.
There are very specific rituals that happen at the Seder meal. These rituals are all in a book called the Haggadah. Inside the Haggadah is also the story of the Jewish exodus from Egypt. During the seder meal parts of the Haggadah are read aloud. The first part of the meal is a blessing over wine. The second part of the meal is the washing of hands. The third part of the meal is when someone dips some sort of vegetable in salt water and then eats the vegetable. The vegetable symbolizes the humble origins of the Jewish people. The water symbolizes their tears. The fourth part of the meal is when three pieces of matzo are broken.",B2
"Stephanie recently took a weekend trip to Los Angeles, California. Los Angeles is a coastal city situated along the Pacific Ocean. Many celebrities earned their claim to fame here. Although the town offers many attractions centered around Hollywood culture, there is a lot to see and visit in Los Angeles.
Of course, all things related to Hollywood are popular tourist attractions. The Hollywood Sign, located the Hollywood Hills of the Santa Monica Mountains, is a famous landmark for this star-studded town. Once in downtown Hollywood, it's possible to take a stroll along the Hollywood Walk of Fame. This landmark contains more than 2500 brass stars dedicated to celebrities who have made a significant impact on the entertainment industry. In Hollywood, visitors can even take tours of popular movie studios. Stephanie had a chance to visit Universal Studios, which produces her favorite films.
Los Angeles is also a popular beach town, offering plenty of opportunities for sunbathing and surfing. A common beach destination is the Santa Monica Pier, which offers rides and attractions to its visitors. Here, Stephanie rode the iconic Ferris wheel, which offered her a spectacular view of the city and coast.
These are just some of the things Stephanie experienced during her visit to Los Angeles. She loved her trip, and she hopes to return someday soon.",B2
"-LSB- Breaking news alert, 6:23 a.m. GMT -LRB- 01:23 a.m. ET -RRB- -RSB-
Scotland will remain part of the United Kingdom -- along with England, Wales and Northern Ireland -- following a historic referendum vote. A majority of voters rejected the possibility of Scotland breaking away and becoming an independent nation.
With 31 of 32 councils declared, the No campaign has won the referendum on Scottish independence.
Scottish First Minister Alex Salmond admitted defeat in Scotland's independence referendum Friday -- and urged the rest of Scotland to do the same.
In a televised statement, he thanked Scotland for 1.6 million votes for Scottish independence. A turnout of 86 % is one of the highest in the democratic world for any such vote, he said.
-LSB- Original story published at 12.37 p.m. ET -RSB-
Voters in Scotland made their choice Thursday -- remain part of the United Kingdom, or form their own independent nation. They chose to remain.
With 31 of 32 of councils reporting, the No campaign had garnered enough votes to secure their victory, and with it Scotland's continued place within the union.
The first councils to declare all went to the No campaign, as did the capital, Edinburgh, which voted overwhelmingly to stay in the union with 123,927 for Yes and 194,628 No votes. Argyll and Bute and Aberdeenshire also voted No. 
Glasgow delivered a solid win for the independence camp with 194,779 votes for Yes, and 169,347 for No, but lead was not big enough to overturn the No camp's overall majority so far, which maintains a 8 % -LRB- 54 % to 46 % -RRB- lead over pro-independence camp.
The majority of the early results have been going the anti-independence camp's way. The No campaign extended lead with Angus and East Dunbartonshire council results, alongside a landslide in Dumfries and Galloway. The oil-rich city of Aberdeen also strongly voted for the unionist camp.
The city of Dundee was the first big gain for the independence campaign, voting Yes with 53,620 votes for, 39,880 against.
The individual counts by local authorities are ultimately immaterial as it is the total number of votes countrywide that will determine the outcome.
Polls at more than 5,500 stations across all districts, from the remote highlands and islands to the big cities of Edinburgh and Glasgow, closed at 10 p.m. local time -LRB- 5 p.m. ET -RRB-. People still in line to vote at that time were allowed to cast ballots.
High turnout
The first districts to report turnout reported high participation -- well over 80 % in most cases -- Mary Pitcaithly, chief counting officer, announced in Edinburgh.
Turnout in Glasgow, one of the Yes campaign's heartlands, was a relatively disappointing 75 %.
More than 4.2 million people registered to vote on the question: Should Scotland be an independent country ? 
A vote for independence would mean Scotland, with its population of about 5.3 million, splits from the rest of the United Kingdom, made up of England, Wales and Northern Ireland, in addition to Scotland.
 The people of Scotland have engaged in this conversation, Phil MacHugh, a spokesman for the Yes camp, told CNN on Thursday night. They have really gone out there, found out the information that they wanted to know, and made that choice today. 
Prime minister's address
British Prime Minister David Cameron will make an address Friday morning. The content will depend on the outcome of the vote, but in the event that Scottish voters decide to stay in the union, Downing Street says he will refer to plans for further redistribution of powers from the central government to the Scottish Parliament, signed by Westminster leaders earlier this week.
The counting officer for Edinburgh, Sue Bruce, explained just after 10 p.m. that each ballot will be double-checked, to verify each voter's decision.
Addressing dozens of election workers, Bruce added, I look forward to working with you during the course of the evening to deliver an accurate and transparent Edinburgh count in which you and the voters of Edinburgh can have full confidence. 
Voting was brisk at one polling station in Glasgow as the polls opened Thursday, with many people voting on the way to work or before taking their children to school.
Bad weather or the sheer volume of votes cast could slow down the counting process. However, the weather forecast appears good so far -- important when some ballot boxes must be collected by helicopter, plane or boat from polling stations on distant islands.
Allegations of voting fraud were reported by Glasgow City Council, with several instances of people turning up at voting booths in Scotland's largest city to vote, only to be told that they had already voted.
The Council stressed that there was never actually a situation of double voting and the affected ballots are now being searched for and taken away.
Scotland's First Minister Alex Salmond, who has led the pro-independence Yes Scotland campaign, cast his ballot Thursday morning in the village of Strichen, Aberdeenshire.
Labour lawmaker Alistair Darling, who has headed the pro-union Better Together campaign -- backed by the main parties in Westminster -- voted in Edinburgh, while former Prime Minister Gordon Brown, another pro-union campaigner, voted in the town of Kirkcaldy.
For the first time, the vote was extended to 16 - and 17-year olds living in Scotland. Nearly 110,000 people younger than 18 have registered to vote.
Voters in the referendum did not have to be British citizens; Commonwealth, Irish and EU citizens who live in Scotland and are registered to vote there can cast a ballot. However, Scots living outside Scotland do not have a say.
Nearly 790,000 people applied for a postal vote -- the largest volume of registration for postal votes ever in Scotland.
After the polls closed, Salmond tweeted, This has been a remarkable day. Scotland's future truly is in Scotland's hands. 
CNN's Nic Robertson reported from Glasgow, Laura Smith-Spark wrote and reported in London and Euan McKirdy wrote and reported in Hong Kong. CNN's Richard Allen Greene, Lindsay Isaac and Greg Botelho contributed to this report.
",B2
